No,x,y,E5:53:39:5F:31:1A,F8:9D:4B:5D:44:F4,FD:AF:34:29:05:FE,C6:62:EC:2D:90:AB,D6:77:D9:C0:A6:54,FA:C4:4A:07:18:9F,C4:35:CE:FD:FB:DF,CC:7F:D5:E0:41:92,D7:B8:72:01:49:AC,C5:EB:92:59:4D:1A,C2:80:A9:28:D0:79,FC:92:D5:14:99:90
1,10,2,-65,-59,-54,-44,-55,-56,-55,-56,-52,-69,-68,-68
2,18,2,-68,-61,-41,-48,-54,-58,-55,-54,-53,-70,-69,-72
3,34,2,-74,-72,-67,-69,-73,-75,-70,-73,-68,-71,-71,-57
4,42,2,-70,-72,-65,-70,-73,-71,-58,-65,-64,-74,-63,-48
5,2,10,-65,-54,-55,-53,-42,-45,-48,-57,-51,-70,-65,-70
6,10,10,-63,-53,-52,-49,-53,-55,-48,-53,-50,-64,-65,-69
7,18,10,-63,-52,-43,-52,-50,-55,-53,-54,-53,-64,-66,-66
8,26,10,-67,-73,-67,-74,-69,-71,-72,-70,-63,-74,-67,-63
9,34,10,-75,-78,-71,-73,-78,-75,-74,-75,-73,-78,-67,-65
10,42,10,-80,-82,-80,-78,-77,-80,-77,-80,-73,-77,-72,-65
11,2,18,-65,-55,-58,-59,-46,-46,-43,-52,-56,-66,-59,-68
12,10,18,-64,-57,-62,-66,-54,-61,-52,-57,-56,-66,-66,-75
13,18,18,-49,-45,-50,-57,-53,-57,-48,-51,-46,-60,-54,-61
14,26,18,-65,-69,-72,-76,-75,-71,-62,-71,-63,-69,-66,-73
15,34,18,-61,-65,-69,-69,-68,-69,-58,-57,-59,-61,-52,-63
16,42,18,-62,-67,-68,-71,-65,-66,-58,-55,-57,-60,-42,-65
17,2,26,-66,-60,-61,-72,-61,-62,-56,-50,-60,-67,-64,-74
18,10,26,-68,-64,-66,-77,-67,-68,-62,-62,-60,-77,-75,-80
19,18,26,-50,-51,-52,-59,-53,-58,-53,-50,-43,-59,-53,-70
20,26,26,-52,-58,-61,-62,-60,-60,-52,-56,-49,-59,-48,-66
21,34,26,-58,-60,-65,-64,-64,-67,-58,-60,-59,-56,-49,-65
22,42,26,-71,-77,-78,-79,-76,-76,-71,-73,-71,-69,-58,-77
23,2,34,-59,-55,-63,-69,-60,-67,-59,-51,-58,-65,-59,-70
24,10,34,-65,-63,-63,-68,-62,-66,-56,-58,-51,-64,-67,-76
25,18,34,-55,-54,-51,-65,-55,-63,-56,-53,-42,-56,-57,-68
26,26,34,-51,-64,-66,-65,-55,-65,-59,-58,-52,-53,-50,-69
27,34,34,-57,-67,-63,-68,-65,-64,-63,-59,-55,-52,-55,-73
28,2,42,-63,-59,-54,-66,-51,-63,-58,-54,-59,-59,-57,-69
29,10,42,-56,-61,-60,-67,-51,-64,-54,-50,-49,-59,-54,-66
30,18,42,-60,-58,-56,-61,-56,-66,-53,-57,-34,-54,-56,-74
31,26,42,-60,-63,-63,-63,-57,-68,-58,-58,-52,-50,-55,-69
32,34,42,-60,-68,-65,-65,-60,-66,-61,-56,-58,-47,-60,-73
33,42,42,-61,-68,-69,-66,-62,-65,-56,-57,-61,-54,-61,-72
