No,x,y,direction,E5:53:39:5F:31:1A,F8:9D:4B:5D:44:F4,FD:AF:34:29:05:FE,C6:62:EC:2D:90:AB,D6:77:D9:C0:A6:54,FA:C4:4A:07:18:9F,C4:35:CE:FD:FB:DF,CC:7F:D5:E0:41:92,D7:B8:72:01:49:AC,C5:EB:92:59:4D:1A,C2:80:A9:28:D0:79,FC:92:D5:14:99:90
1,10,2,N,-68,-56,-49,-46,-56,-61,-51,-58,-52,-67,-69,-68
1,10,2,E,-70,-58,-56,-45,-55,-58,-60,-58,-59,-69,-71,-71
1,10,2,S,-65,-60,-52,-43,-49,-52,-51,-55,-45,-69,-67,-68
1,10,2,W,-59,-60,-57,-44,-58,-54,-63,-53,-54,-73,-67,-65
2,18,2,N,-70,-61,-41,-49,-55,-64,-55,-52,-54,-65,-69,-67
2,18,2,E,-69,-59,-40,-45,-51,-59,-46,-55,-53,-70,-65,-73
2,18,2,S,-63,-56,-44,-56,-54,-53,-57,-55,-51,-71,-68,-73
2,18,2,W,-70,-66,-44,-46,-58,-60,-61,-56,-51,-73,-72,-74
3,34,2,N,-78,-75,-69,-72,-75,-82,-77,-72,-70,-72,-76,-66
3,34,2,E,-74,-74,-70,-74,-77,-74,-72,-80,-78,-75,-71,-60
3,34,2,S,-67,-68,-63,-67,-71,-76,-57,-76,-58,-68,-70,-52
3,34,2,W,-74,-73,-65,-61,-70,-71,-69,-67,-64,-70,-66,-53
4,42,2,N,-68,-76,-67,-70,-72,-70,-58,-66,-69,-76,-70,-46
4,42,2,E,-72,-69,-62,-65,-73,-69,-55,-62,-60,-74,-62,-49
4,42,2,S,-67,-71,-66,-71,-76,-71,-62,-64,-60,-74,-59,-47
4,42,2,W,-74,-76,-62,-72,-71,-73,-60,-66,-60,-71,-62,-49
5,2,10,N,-60,-51,-54,-46,-37,-47,-54,-57,-55,-71,-66,-72
5,2,10,E,-67,-57,-59,-53,-41,-43,-47,-59,-49,-69,-66,-67
5,2,10,S,-65,-57,-55,-59,-42,-46,-43,-55,-51,-71,-72,-72
5,2,10,W,-65,-53,-53,-53,-48,-46,-46,-57,-51,-68,-59,-68
6,10,10,N,-66,-60,-46,-49,-51,-54,-51,-58,-50,-62,-66,-68
6,10,10,E,-66,-59,-55,-45,-50,-58,-48,-48,-49,-71,-69,-68
6,10,10,S,-62,-53,-58,-55,-56,-53,-47,-45,-48,-61,-57,-70
6,10,10,W,-57,-50,-50,-48,-54,-56,-47,-57,-55,-63,-64,-70
7,18,10,N,-62,-51,-38,-52,-46,-55,-49,-54,-57,-65,-68,-68
7,18,10,E,-64,-50,-41,-47,-48,-54,-51,-53,-54,-68,-64,-65
7,18,10,S,-60,-54,-44,-60,-54,-56,-51,-55,-49,-62,-65,-69
7,18,10,W,-67,-54,-46,-48,-50,-56,-60,-54,-53,-66,-66,-64
8,26,10,N,-72,-78,-64,-78,-69,-81,-75,-74,-63,-76,-64,-64
