time,x,y,direction,E5:53:39:5F:31:1A,F8:9D:4B:5D:44:F4,FD:AF:34:29:05:FE,C6:62:EC:2D:90:AB,D6:77:D9:C0:A6:54,FA:C4:4A:07:18:9F,C4:35:CE:FD:FB:DF,CC:7F:D5:E0:41:92,D7:B8:72:01:49:AC,C5:EB:92:59:4D:1A,C2:80:A9:28:D0:79,FC:92:D5:14:99:90
7/9/2024 9:29,42,42,S,,,,-60,-57,-58,-70,,,-54,,
7/9/2024 9:29,42,42,S,-53,,-71,-75,-57,,,-55,-69,,-50,-70
7/9/2024 9:29,42,42,S,-56,-61,,,-58,,-55,,-66,-47,-61,-66
7/9/2024 9:29,42,42,S,,,,,-58,-60,,-53,,-48,,-67
7/9/2024 9:29,42,42,S,,-68,,,,-61,-57,-58,,-49,-58,-79
7/9/2024 9:29,42,42,S,-55,-60,-69,,,-61,-77,-56,-62,-49,,-68
7/9/2024 9:29,42,42,S,-52,-68,-59,-61,-59,,,-61,-64,-53,-52,-67
7/9/2024 9:29,42,42,S,-56,,-67,-79,-58,,-57,,-63,-61,-51,-69
7/9/2024 9:29,42,42,S,,,-79,-75,-57,-67,,,-62,,-52,-66
7/9/2024 9:29,42,42,S,-56,-63,-65,-59,-57,,-57,-59,,-47,-72,
7/9/2024 9:29,42,42,S,,,-59,-59,,-61,-71,-52,,,-59,
7/9/2024 9:29,42,42,S,-66,,,-60,-58,,,-52,,-60,-51,
7/9/2024 9:29,42,42,S,-54,,-68,-74,-57,,,-58,-60,-55,-58,-75
7/9/2024 9:29,42,42,S,-55,-62,,-61,-56,,-75,,-61,-61,-70,-67
7/9/2024 9:29,42,42,S,-56,,-76,-75,-58,-67,-55,,-62,-47,,-69
7/9/2024 9:29,42,42,S,,,,-58,-56,-62,,,-62,-56,-59,
7/9/2024 9:29,42,42,S,,-69,,,-79,,-57,-56,,-55,-51,-65
7/9/2024 9:29,42,42,S,,-62,,-71,-59,-63,,,-77,-48,-68,
7/9/2024 9:29,42,42,S,,-67,-68,,,-71,,-56,,-55,,
7/9/2024 9:29,42,42,S,,,-59,,,-63,,-70,-81,-54,-62,
7/9/2024 9:30,42,42,S,,-69,,,-59,-61,,,-73,-63,-51,-69
7/9/2024 9:30,42,42,S,-56,-62,-66,,-57,,,,-68,-56,-51,-76
7/9/2024 9:30,42,42,S,-55,-70,-68,-59,,-62,,,-68,-48,,-63
7/9/2024 9:30,42,42,S,-56,,,,,-79,-58,-63,,-47,-58,
7/9/2024 9:30,42,42,S,-55,,-64,-58,,-62,-57,,-67,-55,-57,-70
7/9/2024 9:30,42,42,S,,-64,,-62,,-62,,,-67,-56,,-65
7/9/2024 9:30,42,42,S,,-62,,-74,-58,,-56,,,,,-73
7/9/2024 9:30,42,42,S,-56,-69,-69,,-57,-68,-57,-72,,-62,-58,
7/9/2024 9:30,42,42,S,-60,,,,-58,-62,,,-70,-61,-57,-76
7/9/2024 9:30,42,42,S,,,-69,-59,-57,-63,,-55,,,-53,-68
7/9/2024 9:30,42,42,S,,,-64,-59,,,-58,-57,,-61,-58,-77
7/9/2024 9:30,42,42,S,,-62,-76,-71,,,,-53,-63,-62,-62,-67
7/9/2024 9:30,42,42,S,,,,,,,,-58,-76,-47,,-78
